"";"WMO";"YEAR";"Jan";"Feb";"Mar";"Apr";"May";"Jun";"Jul";"Aug";"Sep";"Oct";"Nov";"Dec"
"1";24643;1957;-47,6;-36;-30,5;-7,1;3,3;13,7;17,3;13,9;1,3;-11;-32,6;-37,7
"2";24643;1958;-42,2;-35,9;-26,2;-10,7;2,7;11,3;17;13,8;5,6;-11;-30,4;-40,5
"3";24643;1959;-43,5;-30,5;-15,8;-11,1;2,2;17,2;14,9;15,9;6,7;-8,4;-24;-38,5
"4";24643;1960;-43,1;-35,5;-26,1;-10,4;3,8;15,8;17,7;12,1;4,7;-11,4;-31,2;-39,5
"5";24643;1961;-44,6;-33,8;-24,2;-10,6;3;13,8;17;13,6;6,1;-8;-27,4;-33,9
"6";24643;1962;-35,4;-29,7;-23,1;-9,5;3,9;11,3;17,6;13,8;2;-8,6;-30;-39,1
"7";24643;1963;-33,6;-31,6;-21,8;-12,1;0;12,4;16,4;13,8;4,8;-7,4;-26,2;-38,2
"8";24643;1964;-35,8;-34;-23,8;-12,5;1,9;13,9;18,9;12,7;3,4;-11,5;-30,4;-42,1
"9";24643;1965;-42,1;-38,6;-23,2;-8,6;3;11,9;17,2;14,4;6,6;-9,3;-31,4;-44,9
"10";24643;1966;-41,8;-42,4;-26,6;-10,8;5,1;15,6;15,1;13,8;3,5;-9,6;-31,8;-37,5
"11";24643;1967;-40,1;-37,7;-24,4;-9,2;4,7;16,6;19;14,2;4,3;-4,4;-28,5;-38,2
"12";24643;1968;-43,1;-29,4;-16,5;-1,3;5,3;15,3;17,7;12;4,5;-8,7;-33,2;-41
"13";24643;1969;-42,8;-43,7;-25,2;-11,8;3,9;13,3;18,2;16,1;2,3;-7,3;-30;-40,4
"14";24643;1970;-39,6;-34,6;-21,9;-10,5;1,8;13,2;21;11,1;6,1;-11,2;-29,8;-40,8
"15";24643;1971;-40;-36,6;-23;-9,2;6,2;14,4;19,5;14;6,7;-7,5;-27,6;-37,9
"16";24643;1972;-45,5;-33,8;-22,2;-8,2;2;12,6;17,1;11,9;4,7;-8,6;-34,9;-38,2
"17";24643;1973;-36;-33,1;-21,4;-12,7;7,6;14,7;19,4;16;7;-9,3;-32,9;-40,3
"18";24643;1974;-38,2;-39;-22,2;-7,7;5,5;11,5;17,2;14;5,2;-11,2;-28,3;-42,8
"19";24643;1975;-37,9;-35,8;-17,5;-6,1;7,6;17,3;17,2;12,9;3,7;-6,4;-28;-31,6
"20";24643;1976;-38,8;-37,5;-23,9;-3,4;4,4;12,8;15,7;14,2;6,3;-10,6;-29,8;-39,6
"21";24643;1977;-40,2;-38,3;-23,1;-8,4;5,9;14,5;14,7;11,8;2,3;-14,5;-31,3;-38,1
"22";24643;1978;-43,7;-33,5;-20,2;-4,9;1,6;14,2;15,4;14;4,1;-8,9;-23,5;-41,7
"23";24643;1979;-45,4;-37,5;-25,7;-10,3;3,3;13,2;15,8;12,3;3,5;-13,3;-34,2;-33,3
"24";24643;1980;-37,1;-32,8;-25,6;-10,4;3,3;12,9;21,1;16,5;4,2;-8,7;-31,7;-35,8
"25";24643;1981;-34;-33,4;-23,2;-6,6;5,4;15,1;17,8;13,7;3,4;-10,3;-31,5;-37,7
"26";24643;1982;-42,9;-33;-24,8;-6,4;4,1;12,1;19;12,8;4,9;-13,1;-36,7;-40,7
"27";24643;1983;-41;-36,5;-16,7;-10;5,5;14,8;17,3;16,2;8,8;-11,2;-21;-37,8
"28";24643;1984;-36,8;-36,5;-23,6;-8;7,2;12,9;18,5;11,4;2,8;-12,4;-30,5;-39,2
"29";24643;1985;-44,1;-34,3;-22,9;-7,2;5,7;14,2;15,7;13,2;5,3;-9,3;-26,2;-38,2
"30";24643;1986;-41,8;-32,8;-21;-9,5;2;15,1;18,5;14,3;4,9;-7,3;-29,6;-39,3
"31";24643;1987;-43,4;-33,1;-24,1;-10,6;0,2;12,1;17,1;12,5;2,9;-10,8;-34,3;-42,5
"32";24643;1988;-41,2;-34;-22,2;-8,4;6,5;15,1;18,8;12;6,9;-5,6;-26,8;-33,3
"33";24643;1989;-39,8;-28,5;-16;-10,2;5,1;12,5;15,7;12,9;4,1;-11,1;-30,1;-35,4
"34";24643;1990;-44,4;-35,1;-12,4;-7,4;4;16;14,8;15,2;4,2;-6,4;-30,9;-37,1
"35";24643;1991;-32,7;-35,5;-24,5;-7,9;3,2;11;20,1;15,3;5;-10,1;-28;-33,5
"36";24643;1992;-38,7;-32,6;-22,1;-6;4,8;16;17,4;12,1;5,3;-8,7;-36,3;-34,9
"37";24643;1993;-34,5;-31,6;-22,1;-11,6;4,8;14;18,5;13,3;4,9;-10,5;-31,2;-42,4
"38";24643;1994;-46,1;-35;-22,1;-9,7;3;15;16,5;13;4;-7;-25;-40,5
"39";24643;1995;-37,7;-26,3;-23,3;-8,8;2,2;16,1;17;14,3;4,9;-6;-28,6;-34
"40";24643;1996;-40,7;-33,1;-23,3;-8,2;3;13,9;17,3;12,2;4,3;-8,4;-25,4;-41,2
"41";24643;1997;-38,5;-33,2;-23;-4,3;5,7;14;18,6;14,7;3,9;-5;-28,1;-39,3
"42";24643;1998;-41;-32,8;-24,6;-9,4;6;18,4;19;16;3,8;-12,4;-31,4;-39,6
"43";24643;1999;-34,5;-33,4;-27,7;-8,1;6;15;19,3;11,8;4,7;-11,6;-31;-40
"44";24643;2000;-35,5;-33,9;-22,5;-9;6;15;17,2;13,3;3,8;-12,2;-31,3;-42,1
